"","id","name"
"1",140914,"NarFFL Majors - Vince Lombardi North"
"2",140916,"NarFFL Majors - Vince Lombardi East"
"3",140917,"NarFFL Majors - Vince Lombardi West"
"4",140918,"NarFFL Majors - Bill Walsh North"
"5",140919,"NarFFL Majors - Bill Walsh South"
"6",140920,"NarFFL Majors - Bill Walsh East"
"7",140921,"NarFFL Majors - Bill Walsh West"
"8",140922,"NarFFL Majors - Don Shula North"
"9",140923,"NarFFL Majors - Don Shula South"
"10",140924,"NarFFL Majors - Don Shula East"
"11",140925,"NarFFL Majors - Don Shula West"
"12",140926,"NarFFL Majors - George Halas North"
"13",140927,"NarFFL Majors - George Halas South"
"14",140928,"NarFFL Majors - George Halas East"
"15",140929,"NarFFL Majors - George Halas West"
"16",140930,"NarFFL Majors - Chuck Noll North"
"17",140931,"NarFFL Majors - Chuck Noll South"
"18",140932,"NarFFL Majors - Chuck Noll East"
"19",140933,"NarFFL Majors - Chuck Noll West"
"20",140934,"NarFFL Majors - Paul Brown North"
"21",140935,"NarFFL Majors - Paul Brown South"
"22",140936,"NarFFL Majors - Paul Brown East"
"23",140937,"NarFFL Majors - Paul Brown West"
"24",140938,"NarFFL Majors - Vince Lombardi South"
